MSN,Coal production,Natural gas marketed production,Natural gas marketed production,Crude oil production (including lease condensate),Biodiesel production,"Fuel ethanol production, including denaturant",Noncombustible renewable energy production,Renewable energy production,Wood energy production,Wood and waste energy production,Fossil,Renewable,,,,,,,,,
1960,2169831,117858,113928,34852,0,0,19646,66100,46454,46454,2436469,178654,,,,,,,,,
1961,2060353,103891,100427,32729,0,0,15858,61121,45262,45262,2297400,167503,,,,,,,,,
1962,2112248,93159,90053,30752,0,0,16037,61767,45730,45730,2326212,169264,,,,,,,,,
1963,2308097,95853,92657,29481,0,0,13420,60798,47377,47377,2526088,168972,,,,,,,,,
1964,2413787,85000,82166,29655,0,0,13404,60590,47186,47186,2610608,168366,,,,,,,,,
1965,2453589,87374,84461,28548,0,0,13888,61262,47374,47374,2653972,169898,,,,,,,,,
1966,2432385,94050,90914,25155,0,0,15027,63676,48649,48649,2642504,176001,,,,,,,,,
1967,2361801,93069,89966,25445,0,0,19969,68253,48284,48284,2570281,184790,,,,,,,,,
1968,2257714,91022,87987,24128,0,0,12294,62881,50587,50587,2460851,176349,,,,,,,,,
1969,2303517,81863,79134,25798,0,0,9570,61805,52235,52235,2490312,175845,,,,,,,,,
1970,2357967,79491,76841,23739,0,0,14336,67525,53189,53189,2538038,188239,,,,,,,,,
1971,2127367,79058,76451,22028,0,0,8159,60573,52414,52414,2304904,173560,,,,,,,,,
1972,2164590,76505,73958,19958,0,0,15916,70114,54198,54198,2335011,194426,,,,,,,,,
1973,2096942,81447,78514,19036,0,0,14256,70871,56615,56615,2275939,198357,,,,,,,,,
1974,2150183,84744,82637,20172,0,0,14541,72077,57537,57537,2337736,201692,,,,,,,,,
1975,2246057,86893,84676,18931,0,0,16402,73865,57464,57464,2436557,205195,,,,,,,,,
1976,2321250,91710,89386,17510,0,0,14685,81184,66499,66499,2519856,228867,,,,,,,,,
1977,2270585,93709,91717,15747,0,0,12573,84322,71749,71749,2471758,240393,,,,,,,,,
1978,2172466,99955,97763,16745,0,0,7875,90536,82661,82661,2386929,263733,,,,,,,,,
1979,2390769,98376,96313,16669,0,0,12651,106837,94186,94186,2602127,307860,,,,,,,,,
1980,2370499,99654,97439,15376,0,0,7628,136826,129198,129198,2582968,402850,,,,,,,,,
1981,2138782,125198,122454,21628,0,0,6894,147662,136727,140768,2408062,432051,,,,,,,,,
1982,2029338,124569,121111,24836,0,0,19120,149605,125001,130485,2299854,424211,,,,,,,,,
1983,1785151,121892,118372,24836,0,0,12310,167142,147596,154832,2050251,481880,,,,,,,,,
1984,1983208,172098,166342,24847,0,0,15107,152019,127426,136912,2346495,431464,,,,,,,,,
1985,1832983,155585,150234,28136,0,0,10149,148238,127388,138089,2166938,423864,,,,,,,,,
1986,1842452,166024,159889,21941,0,0,15173,117214,100237,102041,2190306,334665,,,,,,,,,
1987,1807237,169725,163318,19152,0,0,11790,108025,94246,96234,2159432,310295,,,,,,,,,
1988,1825287,173564,167089,16414,0,0,7282,108182,98729,100900,2182354,315093,,,,,,,,,
1989,1822907,199292,191774,15648,0,0,15610,98078,78911,82469,2229621,275068,,,,,,,,,
1990,1831440,184692,177609,15318,0,0,30493,91855,54933,61362,2209059,238643,,,,,,,,,
1991,1701624,158503,152500,14680,0,0,20728,90246,56339,69518,2027307,236831,,,,,,,,,
1992,1812815,144660,138675,12395,0,0,27388,107587,58113,80199,2108545,273287,,,,,,,,,
1993,1553125,137848,132130,11809,0,0,25264,104764,54716,79500,1834912,264244,,,,,,,,,
1994,1621471,125649,120506,14604,0,0,29156,112111,55832,82955,1882230,280054,,,,,,,,,
1995,1602243,115798,111000,11246,0,0,21766,113291,61132,91526,1840287,287715,,,,,,,,,
1996,1766791,140496,135000,9814,0,0,32041,131090,66395,99049,2052101,328575,,,,,,,,,
1997,1982914,83903,80000,7662,0,0,23894,114660,58795,90766,2154479,288115,,,,,,,,,
1998,2133532,136099,130317,11484,0,0,25250,110545,51934,85295,2411432,273024,,,,,,,,,
1999,1994709,182339,174701,8532,0,0,20885,109245,54053,88360,2360281,272543,,,,,,,,,
2000,1946487,156144,150000,8700,0,0,24411,113589,54537,89178,2261331,281715,,,,,,,,,
2001,1929615,139028,130853,9396,0,0,18117,95728,53127,77610,2208892,244582,,,,,,,,,
2002,1734216,164591,157800,13479,0,0,24066,96601,49211,72534,2070086,242412,,,,,,,,,
2003,1599175,167346,159827,14303,0,0,36165,109946,50000,73779,1940651,269890,,,,,,,,,
2004,1600275,206085,197217,13897,1,0,35947,110371,51083,74421,2017474,271823,,,,,,,,,
2005,1607811,176552,168501,14268,6,0,26600,104225,53373,77592,1967132,261796,,,,,,,,,
2006,1583197,184081,175950,15016,80,0,33412,107632,47562,73785,1958244,262471,,,,,,,,,
2007,1557006,190587,182277,16170,240,0,28586,106474,49604,76586,1946040,261490,,,,,,,,,
2008,1591997,207599,198295,17394,546,0,34390,117868,52752,80514,2015285,286070,,,,,,,,,
2009,1439895,286260,273869,17209,494,0,39202,128938,58059,87053,2017233,313746,,,,,,,,,
2010,1485775,600932,572902,18780,343,2339,44294,159219,68974,99589,2678389,374758,,,,,,,,,
2011,1511491,1374471,1310592,19900,459,2055,53426,178974,73472,111255,4216454,419641,,,,,,,,,
2012,1390644,2368982,2256696,25050,771,2076,46875,168698,68117,105758,6041372,392295,,,,,,,,,
2013,1379262,3452918,3259042,30757,763,2523,61743,200322,78983,120046,8121979,464380,,,,,,,,,
2014,1566449,4521340,4257693,39724,686,2341,64887,197329,74565,115404,10385206,455212,,,,,,,,,
2015,1278078,5119772,4812983,40522,592,2283,61427,200440,81888,122856,11251355,469486,,,,,,,,,
2016,1168609,5525743,5210208,35888,876,2474,60247,196630,76874,117654,11940448,454755,,,,,,,,,
2017,1260516,5769945,5453638,37554,1015,2320,68701,204769,76377,117484,12521653,470666,,,,,,,,,
2018,1278056,6632662,6264832,36963,1521,2212,78545,220272,81492,121012,14212513,505054,,,,,,,,,
2019,1250902,7296230,6896792,37362,1023,2559,68177,201471,77950,113402,15481286,464582,,,,,,,,,
